,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
912,NA,₹51.6 L,EMI starts at ₹27.33 K,NA,AV Lalitha Divine County,NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹4.30 K/sq.ft
913,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,Ananya Sai Residency,NA,975 sq.ft,Build Up Area975 sq.ftAvg. Price₹6.15 K/sq.ft
914,NA,₹45.0 L,EMI starts at ₹23.83 K,NA,"Sanjeev Nagar, Malkajgiri,Hyderabad",NA,720 sq.ft,Build Up Area720 sq.ftAvg. Price₹6.25 K/sq.ft
915,NA,₹1.55 Cr,EMI starts at ₹76.95 K,NA,Prestige High Fields,NA,1742 sq.ft,Build Up Area1742 sq.ftAvg. Price₹8.90 K/sq.ft
916,NA,₹48.0 L,EMI starts at ₹25.42 K,NA, Satya Bhaskar Avenue,NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹4.00 K/sq.ft
917,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,Primark Cygnus,NA,1665 sq.ft,Build Up Area1665 sq.ftAvg. Price₹6.91 K/sq.ft
918,NA,₹49.0 L,EMI starts at ₹25.95 K,NA,"Srinivasa Colony, Boduppal,Hyderabad",NA,1030 sq.ft,Build Up Area1030 sq.ftAvg. Price₹4.76 K/sq.ft
919,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,"Suman Housing Colony, West Marredpally,Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹5.91 K/sq.ft
920,NA,₹34.05 L,EMI starts at ₹18.03 K,NA,Ornate,NA,1135 sq.ft,Build Up Area1135 sq.ftAvg. Price₹3.00 K/sq.ft
921,NA,₹49.0 L,EMI starts at ₹25.95 K,NA,Sri Sai Residency,NA,1160 sq.ft,Build Up Area1160 sq.ftAvg. Price₹4.22 K/sq.ft
922,NA,₹52.0 L,EMI starts at ₹27.54 K,NA,"Bachupally, Hyderabad",NA,1230 sq.ft,Build Up Area1230 sq.ftAvg. Price₹4.23 K/sq.ft
923,NA,₹1.35 Cr,EMI starts at ₹67.02 K,NA,"Pavan Residency Begumpet,Kundanbagh, Begumpet,Hyderabad",NA,1825 sq.ft,Build Up Area1825 sq.ftAvg. Price₹7.40 K/sq.ft
924,NA,₹95.0 L,EMI starts at ₹47.16 K,NA,"Peerzadiguda, Hyderabad",NA,1400 sq.ft,Build Up Area1400 sq.ftAvg. Price₹6.79 K/sq.ft
925,NA,₹48.0 L,EMI starts at ₹25.42 K,NA,"Chenchu Guda, Kukatpally,Hyderabad",NA,1135 sq.ft,Build Up Area1135 sq.ftAvg. Price₹4.23 K/sq.ft
926,NA,₹85.0 L,EMI starts at ₹42.20 K,NA,"Nadergul, Hyderabad",NA,1300 sq.ft,Build Up Area1300 sq.ftAvg. Price₹6.54 K/sq.ft
927,NA,₹1.28 Cr,EMI starts at ₹63.30 K,NA,SST Jewel Crest,NA,1700 sq.ft,Build Up Area1700 sq.ftAvg. Price₹7.50 K/sq.ft
928,NA,₹72.9 L,EMI starts at ₹38.60 K,NA,RR Village Pointe,NA,1215 sq.ft,Build Up Area1215 sq.ftAvg. Price₹6.00 K/sq.ft
929,NA,₹72.24 L,EMI starts at ₹38.26 K,NA,RR Village Pointe,NA,1204 sq.ft,Build Up Area1204 sq.ftAvg. Price₹6.00 K/sq.ft
930,NA,₹56.4 L,EMI starts at ₹29.87 K,NA,Sunrise Balaji Avenue,NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹4.70 K/sq.ft
931,NA,₹7.5 Cr,EMI starts at ₹3.72 Lacs,NA,"Mehdipatnam, Hyderabad",NA,4227 sq.ft,Build Up Area4227 sq.ftAvg. Price₹17.74 K/sq.ft
932,NA,₹56.4 L,EMI starts at ₹29.87 K,NA,Sunrise Balaji Avenue,NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹4.70 K/sq.ft
933,NA,₹74.22 L,EMI starts at ₹39.30 K,NA,RR Village Pointe,NA,1237 sq.ft,Build Up Area1237 sq.ftAvg. Price₹6.00 K/sq.ft
934,NA,₹85.87 L,EMI starts at ₹42.63 K,NA,Sunrise Balaji Avenue,NA,1827 sq.ft,Build Up Area1827 sq.ftAvg. Price₹4.70 K/sq.ft
935,NA,₹66.24 L,EMI starts at ₹35.08 K,NA,"Sumikesh  Heights ,Narapally, Hyderabad",NA,1440 sq.ft,Build Up Area1440 sq.ftAvg. Price₹4.60 K/sq.ft
936,NA,₹51.06 L,EMI starts at ₹27.04 K,NA,"Sumkesh  heights,Narapally, Hyderabad",NA,1110 sq.ft,Build Up Area1110 sq.ftAvg. Price₹4.60 K/sq.ft
937,NA,₹43.56 L,EMI starts at ₹23.07 K,NA,"SVs magnifique,Pocharam, Hyderabad",NA,1210 sq.ft,Build Up Area1210 sq.ftAvg. Price₹3.60 K/sq.ft
938,NA,₹61.92 L,EMI starts at ₹32.79 K,NA,"SVS magnifique,Narapally, Hyderabad",NA,1720 sq.ft,Build Up Area1720 sq.ftAvg. Price₹3.60 K/sq.ft
939,NA,₹3.25 Cr,EMI starts at ₹1.61 Lacs,NA,"Owaisi Pura, Masab Tank,Hyderabad",NA,4500 sq.ft,Build Up Area4500 sq.ftAvg. Price₹7.22 K/sq.ft
940,NA,₹1.48 Cr,EMI starts at ₹73.48 K,NA,Poulomi Indus Crest,NA,2418 sq.ft,Build Up Area2418 sq.ftAvg. Price₹6.12 K/sq.ft
941,NA,₹2.3 Cr,EMI starts at ₹1.14 Lacs,NA,Prestige High Fields Ph II,NA,2848 sq.ft,Build Up Area2848 sq.ftAvg. Price₹8.07 K/sq.ft
942,NA,₹55.62 L,EMI starts at ₹29.45 K,NA,Dhathri Golden Tulip,NA,1236 sq.ft,Build Up Area1236 sq.ftAvg. Price₹4.50 K/sq.ft
943,NA,₹47.21 L,EMI starts at ₹25.00 K,NA,Dhathri Golden Tulip,NA,1049 sq.ft,Build Up Area1049 sq.ftAvg. Price₹4.50 K/sq.ft
944,NA,₹47.21 L,EMI starts at ₹25.00 K,NA,Dhathri Golden Tulip,NA,1049 sq.ft,Build Up Area1049 sq.ftAvg. Price₹4.50 K/sq.ft
945,NA,₹48.0 L,EMI starts at ₹25.42 K,NA,"Shankarpally, Hyderabad",NA,400 sq.yd,Plot Area400 sq.ydAvg. Price₹12.00 K/sq.yd
946,NA,₹43.56 L,EMI starts at ₹23.07 K,NA,"Vanya Farms and Resorts,Shankarpally, Hyderabad",NA,363 sq.yd,Plot Area363 sq.ydAvg. Price₹12.00 K/sq.yd
947,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Bacharam, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹17.50 K/sq.yd
948,NA,₹14.39 L,EMI starts at ₹7.62 K,NA,Samooha Golden Gate,NA,1440 sq.ft,Plot Area1440 sq.ftAvg. Price₹999/sq.ft
949,NA,₹10.69 L,EMI starts at ₹5.66 K,NA,Building True Gold Balanagar by Building Blocks Projects India Pvt Ltd,NA,1485 sq.ft,Plot Area1485 sq.ftAvg. Price₹719/sq.ft
950,NA,₹4.95 Cr,EMI starts at ₹2.46 Lacs,NA,DSR Fortune Prime,NA,3975 sq.ft,Build Up Area3975 sq.ftAvg. Price₹12.45 K/sq.ft
951,NA,₹9.46 L,EMI starts at ₹5.01 K,NA,"Yadagirigutta, Hyderabad",NA,1485 sq.ft,Plot Area1485 sq.ftAvg. Price₹637/sq.ft
952,NA,₹5.5 Cr,EMI starts at ₹2.73 Lacs,NA,CPR Bella Vista,NA,3895 sq.ft,Build Up Area3895 sq.ftAvg. Price₹14.12 K/sq.ft
953,NA,₹80.0 L,EMI starts at ₹39.72 K,NA,"Bps twin tower,Sai Ram Nagar, Champapet,Hyderabad",NA,1285 sq.ft,Build Up Area1285 sq.ftAvg. Price₹6.22 K/sq.ft
954,NA,₹4.5 Cr,EMI starts at ₹2.23 Lacs,NA,DSR Fortune Prime,NA,3190 sq.ft,Build Up Area3190 sq.ftAvg. Price₹14.11 K/sq.ft
955,NA,₹9.0 L,EMI starts at ₹4.77 K,NA,"suvarna kuteer,Shadnagar, Hyderabad",NA,1500 sq.ft,Plot Area1500 sq.ftAvg. Price₹600/sq.ft
956,NA,₹3.2 Cr,EMI starts at ₹1.59 Lacs,NA,My Home Abhra,NA,2595 sq.ft,Build Up Area2595 sq.ftAvg. Price₹12.33 K/sq.ft
957,NA,₹22.0 L,EMI starts at ₹11.65 K,NA,Advaitha Enclave,NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹1.22 K/sq.ft
958,NA,₹22.0 L,EMI starts at ₹11.65 K,NA,"sumeettra housing,Sadasivpet, Hyderabad",NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹1.22 K/sq.ft
959,NA,₹20.03 L,EMI starts at ₹10.60 K,NA,Fortune Butterfly City,NA,2400 sq.ft,Plot Area2400 sq.ftAvg. Price₹834/sq.ft
960,NA,₹1.32 Cr,EMI starts at ₹65.33 K,NA,"Dundigal, Hyderabad",NA,4230 sq.ft,Plot Area4230 sq.ftAvg. Price₹3.11 K/sq.ft
961,NA,₹3.9 Cr,EMI starts at ₹1.94 Lacs,NA,My Home Bhooja,NA,2680 sq.ft,Build Up Area2680 sq.ftAvg. Price₹14.55 K/sq.ft
962,NA,₹12.15 L,EMI starts at ₹6.43 K,NA,"JSR GROUP SUNCITY AQUAMARINE,Sadasivpet, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹8.10 K/sq.yd
963,NA,₹26.85 L,EMI starts at ₹14.22 K,NA,"JSR GROUP SUNCITY ZIRCON 1,Burgul, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹17.90 K/sq.yd
964,NA,₹2.65 Cr,EMI starts at ₹1.32 Lacs,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,2300 sq.ft,Build Up Area2300 sq.ftAvg. Price₹11.52 K/sq.ft
965,NA,₹18.0 Cr,EMI starts at ₹8.94 Lacs,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,5500 sq.ft,Build Up Area5500 sq.ftAvg. Price₹32.73 K/sq.ft
966,NA,₹28.89 Cr,EMI starts at ₹14.34 Lacs,NA,"Jubilee Hills, Hyderabad",NA,1050 sq.yd,Plot Area1050 sq.ydAvg. Price₹2.75 Lacs/sq.yd
967,NA,₹18.0 Cr,EMI starts at ₹8.94 Lacs,NA,"Jubilee Hills, Hyderabad",NA,10000 sq.ft,Build Up Area10000 sq.ftAvg. Price₹18.00 K/sq.ft
968,NA,₹22.0 Cr,EMI starts at ₹10.92 Lacs,NA,"Jubilee Hills, Hyderabad",NA,7500 sq.ft,Build Up Area7500 sq.ftAvg. Price₹29.33 K/sq.ft
969,NA,₹17.0 Cr,EMI starts at ₹8.44 Lacs,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,5600 sq.ft,Build Up Area5600 sq.ftAvg. Price₹30.36 K/sq.ft
970,NA,₹1.75 Cr,EMI starts at ₹86.88 K,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹7.00 K/sq.ft
971,NA,₹30.0 Cr,EMI starts at ₹14.89 Lacs,NA,"Jubilee Hills, Hyderabad",NA,1050 sq.yd,Plot Area1050 sq.ydAvg. Price₹2.86 Lacs/sq.yd
972,NA,₹15.0 Cr,EMI starts at ₹7.45 Lacs,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,5500 sq.ft,Build Up Area5500 sq.ftAvg. Price₹27.27 K/sq.ft
973,NA,₹13.75 Cr,EMI starts at ₹6.83 Lacs,NA,"Jubilee Hills, Hyderabad",NA,500 sq.yd,Plot Area500 sq.ydAvg. Price₹2.75 Lacs/sq.yd
974,NA,₹24.55 L,EMI starts at ₹13.00 K,NA,"Anantharam, Hyderabad",NA,1677 sq.yd,Plot Area1677 sq.ydAvg. Price₹1.46 K/sq.yd
975,NA,₹1.85 Cr,EMI starts at ₹91.85 K,NA,Alekhya Palm Woods,NA,1690 sq.ft,Build Up Area1690 sq.ftAvg. Price₹10.95 K/sq.ft
976,NA,₹52.5 Cr,EMI starts at ₹26.06 Lacs,NA,"Jubilee Hills, Hyderabad",NA,1500 sq.yd,Plot Area1500 sq.ydAvg. Price₹3.50 Lacs/sq.yd
977,NA,₹44.0 L,EMI starts at ₹23.30 K,NA,"AV Infracon,Annojiguda, ,Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹4.00 K/sq.ft
978,NA,₹42.0 L,EMI starts at ₹22.24 K,NA,"Sadasivpet, Hyderabad",NA,3267 sq.ft,Plot Area3267 sq.ftAvg. Price₹1.28 K/sq.ft
979,NA,₹21.36 L,EMI starts at ₹11.31 K,NA,"PALM CITY,Shadnagar, Hyderabad",NA,2400 sq.ft,Plot Area2400 sq.ftAvg. Price₹890/sq.ft
980,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,Vaishnavi Fresh Living Apartments,NA,1660 sq.ft,Build Up Area1660 sq.ftAvg. Price₹9.04 K/sq.ft
981,NA,₹10.35 L,EMI starts at ₹5.48 K,NA,"GREEN METROS HARITHA VANAM,Sadasivpet, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹6.90 K/sq.yd
982,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"Industrial Development Area, Nacharam,Hyderabad",NA,1223 sq.ft,Build Up Area1223 sq.ftAvg. Price₹4.50 K/sq.ft
983,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,Parijatha Icon 2,NA,1010 sq.ft,Build Up Area1010 sq.ftAvg. Price₹3.46 K/sq.ft
984,NA,₹36.0 L,EMI starts at ₹19.06 K,NA,"Highway Down Town,Shadnagar, Hyderabad",NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹2.00 K/sq.ft
985,Sark Town Homes,₹75 L,EMI starts at ₹39.72 K,By  Sark Projects India Pvt Ltd,"Shankarpally,Hyderabad",3 BHK Villa for sale in Shankarpally,Under Construction,Possession StatusUnder Construction
986,Fortune Butterfly City,₹7.43 L - 45 L,EMI starts at ₹3.93 K,Marketed by  Fortune ,"Kadthal,South Hyderabad,Hyderabad",Residential Plots for sale in Kadthal,Ready to Move,Possession StatusReady to MoveAvg. Price₹500/sq.ft
987,Sophists Myra Project,₹58.03 L - 94.25 L,EMI starts at ₹30.73 K,Marketed by  Squarefeet Online Realty Services Pvt Ltd,"Kompally,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Kompally","Aug, 2027","Possession StartsAug, 2027Avg. Price₹4.50 K/sq.ft"
988,S V Venkatadri,₹42.12 L - 73.59 L,EMI starts at ₹22.30 K,Marketed by  Propbuynsell,"Pocharam,South Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Pocharam","Jul, 2024","Possession StartsJul, 2024Avg. Price₹4.30 K/sq.ft"
989,Risinia Trendilla,₹63.34 L - 89.84 L,EMI starts at ₹33.54 K,By  Risinia Builders,Bachupally Hyderabad,"2, 3 BHK Flats for sale in Bollaram Industrial Area","Mar, 2022","Possession StartsMar, 2022Avg. Price₹5.30 K/sq.ft"
990,Accurate Wind Chimes,₹94.57 L - 1.14 Cr,EMI starts at ₹46.95 K,Marketed by  Proptiger,"Gachibowli, Hyderabad","2, 2.5, 3 BHK Flats for sale in Narsingi","Dec, 2022","Possession StartsDec, 2022Avg. Price₹6.59 K/sq.ft"
991,Forest Edge By Canny,₹53.98 L - 1.06 Cr,EMI starts at ₹28.59 K,Marketed by  Squarefeet Online Realty Services Pvt Ltd,"Bachupally,North Hyderabad,Hyderabad","2, 2.5, 3 BHK Flats for sale in Bachupally","Mar, 2024","Possession StartsMar, 2024Avg. Price₹4.80 K/sq.ft"
992,Aspire Central Park,₹9 L - 65 L,EMI starts at ₹4.77 K,Marketed by  TSR Infra,"Sadasivpet,Hyderabad",Residential Plots for sale in Sadasivpet,Ready to Move,Possession StatusReady to MoveAvg. Price₹6.00 K/sq.yd
993,Pragati Green Valley R Sector,₹84.47 L,EMI starts at ₹41.93 K,By  Pragati Green Meadows And Resorts Ltd,"Reddipally,West Hyderabad,Hyderabad",Residential Plots for sale in Reddipally,Ready to Move,Possession StatusReady to MoveAvg. Price₹15.00 K/sq.yd
994,NA,₹94.5 L,EMI starts at ₹46.92 K,NA,Sukhii 9,NA,1520 sq.ft,Build Up Area1520 sq.ftAvg. Price₹6.22 K/sq.ft
995,NA,₹95.0 L,EMI starts at ₹47.16 K,NA,Sukhii 9,NA,1520 sq.ft,Build Up Area1520 sq.ftAvg. Price₹6.25 K/sq.ft
996,NA,₹1.2 Cr,EMI starts at ₹59.58 K,NA,Sukhii 9,NA,1800 sq.ft,Build Up Area1800 sq.ftAvg. Price₹6.67 K/sq.ft
997,NA,₹1.32 Cr,EMI starts at ₹65.53 K,NA,Sukhii 9,NA,1905 sq.ft,Build Up Area1905 sq.ftAvg. Price₹6.93 K/sq.ft
998,NA,₹1.32 Cr,EMI starts at ₹65.53 K,NA,Sukhii 9,NA,1905 sq.ft,Build Up Area1905 sq.ftAvg. Price₹6.93 K/sq.ft
999,NA,₹2.3 Cr,EMI starts at ₹1.14 Lacs,NA,Sukhii 9,NA,3350 sq.ft,Build Up Area3350 sq.ftAvg. Price₹6.87 K/sq.ft
1000,Peram Aditya Aishwarya,₹24.21 L - 58.0 L,EMI starts at ₹12.82 K,Marketed by  Peram group,"Shankarpally,Hyderabad",Residential Plots for sale in Shankarpally,Ready to Move,Possession StatusReady to MoveAvg. Price₹14.50 K/sq.yd
1001,Alpine GMR Springfield,₹51.83 L - 67.7 L,EMI starts at ₹27.45 K,Marketed by  Squarefeet Online Realty Services Pvt Ltd,"Kompally, Hyderabad","2, 3 BHK Flats for sale in Kompally","May, 2022","Possession StartsMay, 2022Avg. Price₹4.90 K/sq.ft"
1002,Gothic Pentagon Clouds,₹63.93 L - 1.14 Cr,EMI starts at ₹33.86 K,Marketed by  Squarefeet Online Realty Services Pvt Ltd,"Bachupally,North Hyderabad,Hyderabad","2, 3, 3.5 BHK Flats for sale in Bachupally","Dec, 2024","Possession StartsDec, 2024Avg. Price₹4.90 K/sq.ft"
1003,Landlord Auric Nest,₹30.06 L - 54 L,EMI starts at ₹15.92 K,Marketed by  Landlord Infra Group,"Kothur,West Hyderabad,Hyderabad",Residential Plots for sale in Kothur,Ready to Move,Possession StatusReady to MoveAvg. Price₹18.00 K/sq.yd
1004,Avani Sri Yadadri Gardens,₹16.87 L - 41.62 L,EMI starts at ₹8.94 K,Marketed by  Mahesh,"Yadagirigutta,Hyderabad",Residential Plots for sale in Yadagirigutta,Ready to Move,Possession StatusReady to MoveAvg. Price₹10.62 K/sq.yd
1005,Manbhum Home Tree,₹62.3 L - 92.09 L,EMI starts at ₹32.99 K,Marketed by  Som,"Jeedimetla,North Hyderabad,Hyderabad","2, 2.5, 3 BHK Flats for sale in Jeedimetla","Dec, 2026","Possession StartsDec, 2026Avg. Price₹5.20 K/sq.ft"
1006,Golden Dream County,₹20.03 L - 35.99 L,EMI starts at ₹10.61 K,Marketed by  HARIHARA DEVELOPERS,"Sadasivpet,Hyderabad",Residential Plots for sale in Sadasivpet,Ready to Move,Possession StatusReady to MoveAvg. Price₹12.00 K/sq.yd
1007,Praneeth Elite,₹69.04 L - 1.07 Cr,EMI starts at ₹36.56 K,By  Praneeth Group,"Kollur,West Hyderabad,Hyderabad",3 BHK Flat for sale in Kollur,"Sep, 2024","Possession StartsSep, 2024Avg. Price₹4.70 K/sq.ft"
1008,Shree Gold Mine,₹59.8 L - 73.6 L,EMI starts at ₹31.67 K,Marketed by  Hemasree,"Kollur,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Kollur","Dec, 2024","Possession StartsDec, 2024Avg. Price₹3.91 K/sq.ft"
1009,Subhagruha Sukrithi Aarunya,₹37.4 L - 68.0 L,EMI starts at ₹19.80 K,Marketed by  Srinavas,"Lemoor,South Hyderabad,Hyderabad",Residential Plots for sale in Lemoor,"Apr, 2022","Possession StartsApr, 2022"
1010,NA,₹1.38 Cr,EMI starts at ₹68.51 K,NA,Ramky One Galaxia Phase II,NA,1665 sq.ft,Build Up Area1665 sq.ftAvg. Price₹8.29 K/sq.ft
1011,K Raheja Vistas Elite Tower H,₹81.2 L - 97.72 L,EMI starts at ₹40.31 K,Marketed by  THE RESIDENTIALLY,"Nacharam,East Hyderabad,Hyderabad",3 BHK Flat for sale in Nacharam,"Sep, 2024","Possession StartsSep, 2024Avg. Price₹5.60 K/sq.ft"
1012,Mantoor Nandan Serenity,₹1.43 Cr - 1.68 Cr,EMI starts at ₹70.82 K,Marketed by  Yugandhar,"Velimela,Hyderabad",3 BHK Villa for sale in Velimela,"Dec, 2022","Possession StartsDec, 2022Avg. Price₹8.00 K/sq.ft"
1013,Cybercity Westbrook,₹78.49 L - 1.75 Cr,EMI starts at ₹38.97 K,Marketed by  Focus Realty Partners,"Kokapet,West Hyderabad,Hyderabad","2, 3, 4 BHK Flats for sale in Kokapet","Oct, 2026","Possession StartsOct, 2026Avg. Price₹7.30 K/sq.ft"
1014,SRR Gachibowli Paradise County Phase 4,₹24.0 L - 48.0 L,EMI starts at ₹12.71 K,Marketed by  Srr fortune infra developers,"Patancheru,North Hyderabad,Hyderabad",Residential Plots for sale in Patancheru,Ready to Move,Possession StatusReady to MoveAvg. Price₹10.20 K/sq.yd
1015,Bhasyam Oxygen County Phase 1,₹45.0 L - 1.2 Cr,EMI starts at ₹23.83 K,Marketed by  Bhashyam Developers,"Kollur,West Hyderabad,Hyderabad",Residential Plots for sale in Kollur,Ready to Move,Possession StatusReady to MoveAvg. Price₹30.00 K/sq.yd
1016,Akshita Natures Habitat,₹32.04 L - 92.16 L,EMI starts at ₹16.97 K,Marketed by  Sunitha one idea ,"Shamirpet,Hyderabad",Residential Plots for sale in Shamirpet,Ready to Move,Possession StatusReady to MoveAvg. Price₹18.00 K/sq.yd
1017,Incor Lake City Projects Pvt Ltd,₹35.48 L - 55.51 L,EMI starts at ₹18.79 K,Marketed by  THE RESIDENTIALLY,"Patancheru,North Hyderabad,Hyderabad","1, 2, 3 BHK Flats for sale in Patancheru","Jan, 2026","Possession StartsJan, 2026Avg. Price₹4.60 K/sq.ft"
1018,Swathi Luckie Township II,₹25.06 L - 30.01 L,EMI starts at ₹13.27 K,Marketed by  Santosh Reddy,"Thimmapur,West Hyderabad,Hyderabad",Residential Plots for sale in Thimmapur,"Nov, 2021","Possession StartsNov, 2021Avg. Price₹14.00 K/sq.yd"
1019,BVR SV Golden City 2,₹24.0 L - 40.01 L,EMI starts at ₹12.71 K,Marketed by  BVR Infra Developers,"Kadthal,South Hyderabad,Hyderabad",Residential Plots for sale in Kadthal,"Mar, 2021","Possession StartsMar, 2021Avg. Price₹16.00 K/sq.yd"
1020,SSN Dwaraka Green Meadows,₹41.5 L - 69.51 L,EMI starts at ₹21.98 K,Marketed by  Vishwadharani Developers,"Shamirpet,Hyderabad",Residential Plots for sale in Shamirpet,"Mar, 2023","Possession StartsMar, 2023Avg. Price₹25.00 K/sq.yd"
1021,Nestila Aravindam,₹60.48 L - 80.64 L,EMI starts at ₹32.03 K,Marketed by  PROP DREAMS,"Bachupally,North Hyderabad,Hyderabad","2, 2.5, 3 BHK Flats for sale in Bachupally","Apr, 2023","Possession StartsApr, 2023Avg. Price₹4.80 K/sq.ft"
1022,Param Heights,₹53.91 L - 76.86 L,EMI starts at ₹28.55 K,Marketed by  Sunyuga projects,"Bollaram Industrial Area,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Bollaram Industrial Area","May, 2023","Possession StartsMay, 2023Avg. Price₹4.50 K/sq.ft"
1023,Bhashyam RRR County,₹28.22 L - 1.7 Cr,EMI starts at ₹14.95 K,Marketed by  Babu bhashyam Projects,"Shankarpally,North Hyderabad,Hyderabad",Residential Plots for sale in Shankarpally,"Mar, 2022","Possession StartsMar, 2022Avg. Price₹17.00 K/sq.yd"
1024,Dhruva Dhatri,₹32.99 L - 1.13 Cr,EMI starts at ₹17.47 K,Marketed by  dhruva projects,"Medchal,North Hyderabad,Hyderabad",Residential Plots for sale in Medchal,"Jul, 2023","Possession StartsJul, 2023Avg. Price₹2.78 K/sq.ft"
1025,Tripura Landmark Nirvana,₹1.15 Cr,EMI starts at ₹57.09 K,Marketed by  TRIPURA LANDMARK,"Bachupally,North Hyderabad,Hyderabad",3 BHK Villa for sale in Bachupally,"Aug, 2023","Possession StartsAug, 2023Avg. Price₹5.00 K/sq.ft"
1026,JBS Serene Villas Phase 6,₹79.0 L - 1.38 Cr,EMI starts at ₹39.22 K,Marketed by  Madhubabu ,"Nagarjuna Sagar Highway, Adibatla","2, 3 BHK Villas for sale in Adibatla","Jul, 2025","Possession StartsJul, 2025Avg. Price₹4.39 K/sq.ft"
1027,Fortune Tandra Open Skies,₹24.47 L - 2.4 Cr,EMI starts at ₹12.96 K,Marketed by  Babu,"Chandrayan Guda,West Hyderabad,Hyderabad",Residential Plots for sale in Chandrayan Guda,Ready to Move,Possession StatusReady to MoveAvg. Price₹15.00 K/sq.yd
1028,Sahiti Sarvani Elite,₹37.36 L - 50.84 L,EMI starts at ₹19.78 K,Marketed by  shelterNshelter,"Aminpur,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Aminpur","Dec, 2024","Possession StartsDec, 2024Avg. Price₹3.10 K/sq.ft"
1029,Landbase Nakshatra,₹33.4 L - 79.99 L,EMI starts at ₹17.69 K,Marketed by  Gayathri infra ,"Isnapur,North Hyderabad,Hyderabad",Residential Plots for sale in Isnapur,Ready to Move,Possession StatusReady to MoveAvg. Price₹20.00 K/sq.yd
1030,Swagath Bliss,₹75.6 L - 76.14 L,EMI starts at ₹37.53 K,Marketed by  Swagath Housing Corporation,"Serilingampally,North Hyderabad,Hyderabad",3 BHK Flat for sale in Serilingampally,Ready to Move,Possession StatusReady to MoveAvg. Price₹5.40 K/sq.ft
1031,SN Prime Villas,₹1.1 Cr - 1.64 Cr,EMI starts at ₹54.61 K,Marketed by  Real Brick,"Osman Nagar,West Hyderabad,Hyderabad","3 BHK Duplex, Villa for sale in Osman Nagar","Dec, 2024","Possession StartsDec, 2024Avg. Price₹4.23 K/sq.ft"
1032,NA,₹99.0 L,EMI starts at ₹49.15 K,NA,Ramky One Galaxia,NA,1265 sq.ft,Build Up Area1265 sq.ftAvg. Price₹7.83 K/sq.ft
1033,NA,₹1.95 Cr,EMI starts at ₹96.81 K,NA,"Engineers enclave chandannagar,Annapurna Enclave, Chandanagar,Hyderabad",NA,2350 sq.ft,Build Up Area2350 sq.ftAvg. Price₹8.30 K/sq.ft
1034,NA,₹1.95 Cr,EMI starts at ₹96.81 K,NA,"Engineers enclave chandannagar,Annapurna Enclave, Chandanagar,Hyderabad",NA,2350 sq.ft,Build Up Area2350 sq.ftAvg. Price₹8.30 K/sq.ft
1035,NA,₹4.0 Cr,EMI starts at ₹1.99 Lacs,NA,"Prime professional consultancey,Mega Hills, Madhapur,Hyderabad",NA,1800 sq.ft,Build Up Area1800 sq.ftAvg. Price₹22.22 K/sq.ft
1036,NA,₹1.7 Cr,EMI starts at ₹84.40 K,NA,"Shamshabad, Hyderabad",NA,5421 sq.ft,Build Up Area5421 sq.ftAvg. Price₹3.13 K/sq.ft
1037,NA,₹1.8 Cr,EMI starts at ₹89.36 K,NA,"Shamshabad, Hyderabad",NA,5080 sq.ft,Build Up Area5080 sq.ftAvg. Price₹3.54 K/sq.ft
