,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
128,NA,₹1.58 Cr,EMI starts at ₹78.44 K,NA,"Global xlnx,SBH Colony, Vijaya Nagar Colony,Hyderabad",NA,2250 sq.ft,Build Up Area2250 sq.ftAvg. Price₹7.02 K/sq.ft
129,Lake View Park,₹53.09 L - 1.6 Cr,EMI starts at ₹28.12 K,Marketed by  SAI SURYA DEVELOPERS,"Sangareddy,North Hyderabad,Hyderabad",Residential Plots for sale in Sangareddy,Under Construction,Possession StatusUnder ConstructionAvg. Price₹30.00 K/sq.yd
130,Cozy Essence Elite,₹40.33 L - 80.65 L,EMI starts at ₹21.35 K,By  Cozy Essence Builders,Kompally,"2, 3 BHK Flats for sale in Bhadurpalle","May, 2023","Possession StartsMay, 2023Avg. Price₹3.90 K/sq.ft"
131,Ayati Hill Top,₹92.1 L - 95.24 L,EMI starts at ₹45.73 K,By  Ayati Properties,"Bandlaguda Jagir,West Hyderabad,Hyderabad",3 BHK Flat for sale in Bandlaguda Jagir,"Mar, 2023","Possession StartsMar, 2023Avg. Price₹5.80 K/sq.ft"
132,IRA M3,₹49.5 L - 49.73 L,EMI starts at ₹26.21 K,By  Ira Reality,"Kollur,West Hyderabad,Hyderabad",2.5 BHK Flat for sale in Kollur,"Jun, 2023","Possession StartsJun, 2023Avg. Price₹4.50 K/sq.ft"
133,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,Muppa Aishwarya Condos,NA,1650 sq.ft,Build Up Area1650 sq.ftAvg. Price₹6.67 K/sq.ft
134,NA,₹80.0 L,EMI starts at ₹39.72 K,NA,Divyasri Lunaar Green City,NA,3600 sq.ft,Plot Area3600 sq.ftAvg. Price₹2.22 K/sq.ft
135,NA,₹8.0 L,EMI starts at ₹4.24 K,NA,"Shadnagar, Hyderabad",NA,1200 sq.ft,Plot Area1200 sq.ftAvg. Price₹666/sq.ft
136,NA,₹2.5 Cr,EMI starts at ₹1.24 Lacs,NA,"Kollur, Hyderabad",NA,3000 sq.ft,Build Up Area3000 sq.ftAvg. Price₹8.33 K/sq.ft
137,NA,₹1.13 Cr,EMI starts at ₹56.10 K,NA,"Santhivihar,Jai Jawan Colony, Kapra,Hyderabad",NA,1780 sq.ft,Build Up Area1780 sq.ftAvg. Price₹6.35 K/sq.ft
138,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,"royal retrreat,Sangareddy, Hyderabad",NA,3564 sq.ft,Plot Area3564 sq.ftAvg. Price₹1.82 K/sq.ft
139,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,"Bhanur, Hyderabad",NA,2925 sq.ft,Build Up Area2925 sq.ftAvg. Price₹5.13 K/sq.ft
140,NA,₹1.6 Cr,EMI starts at ₹79.43 K,NA,"Kamala Nagar ramalayam backside,Gandhi Nagar, Gaddi Annaram,Hyderabad",NA,1850 sq.ft,Build Up Area1850 sq.ftAvg. Price₹8.65 K/sq.ft
141,NA,₹40.0 L,EMI starts at ₹21.18 K,NA,"Mahima Enclave,Adibatla, Hyderabad",NA,1140 sq.ft,Build Up Area1140 sq.ftAvg. Price₹3.51 K/sq.ft
142,NA,₹23.0 L,EMI starts at ₹12.18 K,NA,"Bharati builders,Bhanur, Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹2.09 K/sq.ft
143,NA,₹1.7 Cr,EMI starts at ₹84.40 K,NA,"Alwal, Hyderabad",NA,171 sq.ft,Build Up Area171 sq.ftAvg. Price₹99.42 K/sq.ft
144,NA,₹44.0 L,EMI starts at ₹23.30 K,NA,JBS Serene Villas Phase 6,NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹2.44 K/sq.ft
145,NA,₹3.7 Cr,EMI starts at ₹1.84 Lacs,NA,Gem Estrella Kuber,NA,3426 sq.ft,Build Up Area3426 sq.ftAvg. Price₹10.80 K/sq.ft
146,NA,₹48.0 L,EMI starts at ₹25.42 K,NA,"Kucharam, Hyderabad",NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹2.67 K/sq.ft
147,RNG Supra Avenue,₹39.86 L - 54.37 L,EMI starts at ₹21.11 K,By  RNG Infra,"Bowrampet,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Bowrampet","Mar, 2023","Possession StartsMar, 2023Avg. Price₹3.75 K/sq.ft"
148,Paramount,₹1.57 Cr - 2.03 Cr,EMI starts at ₹78.06 K,By  Bridge Constructions Private Limited,"Padmarao Nagar,Hyderabad",3 BHK Flat for sale in Padmarao Nagar,"Mar, 2022","Possession StartsMar, 2022Avg. Price₹9.50 K/sq.ft"
